"No.","Time","Source","Destination","Protocol","Length","Info"
"9216","2550.313168","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=312, Time=199040 Frames=5"
"9217","2550.319314","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9218","2550.333271","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=313, Time=199680 Frames=5"
"9219","2550.333452","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=314, Time=200320 Frames=5"
"9220","2550.342952","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9221","2550.344183","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9222","2550.353714","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=315, Time=200960 Frames=5"
"9223","2550.361408","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9224","2550.373492","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=316, Time=201600 Frames=5"
"9225","2550.380948","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9226","2550.393461","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=317, Time=202240 Frames=5"
"9227","2550.393639","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=318, Time=202880 Frames=5"
"9228","2550.407632","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9229","2550.407884","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9230","2550.413213","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=319, Time=203520 Frames=5"
"9231","2550.419320","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9232","2550.433446","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=320, Time=204160 Frames=5"
"9233","2550.433711","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=321, Time=204800 Frames=5"
"9234","2550.442848","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9235","2550.444349","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9236","2550.453354","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=322, Time=205440 Frames=5"
"9237","2550.460122","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9238","2550.473100","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=323, Time=206080 Frames=5"
"9239","2550.478863","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9240","2550.493133","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=324, Time=206720 Frames=5"
"9241","2550.493296","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=325, Time=207360 Frames=5"
"9242","2550.502859","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9243","2550.503879","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"9244","2550.512900","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=326, Time=208000 Frames=5"
"9245","2550.518995","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
