"
2017-01-03 17:14:00.761059 ," HCI Event: Command Complete (0x0e) plen 4     Write Extended Inquiry Response (0x03|0x0052) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.797495 ," HCI Command: Write Extended Inquiry Response (0x03|0x0052) plen 241     fec 0x01     Complete local name: 'LG K10'     Complete service classes: 0x110a 0x110c 0x110e 0x1112 0x111f 0x112f 0x1200 0x1132     Unknown type 0x05 with 0 bytes data     Unknown type 0x07 with 0 bytes data 
"
2017-01-03 17:14:00.800250 ," HCI Event: Command Complete (0x0e) plen 4     Write Extended Inquiry Response (0x03|0x0052) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.830215 ," HCI Command: Vendor (0x3f|0x0157) plen 2 
"
2017-01-03 17:14:00.834365 ," HCI Event: Command Complete (0x0e) plen 6     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:00.842590 ," HCI Command: Vendor (0x3f|0x0157) plen 11 
"
2017-01-03 17:14:00.844838 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:00.847659 ," HCI Command: Vendor (0x3f|0x0157) plen 16 
"
2017-01-03 17:14:00.849913 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:00.861622 ," HCI Command: Vendor (0x3f|0x0157) plen 7 
"
2017-01-03 17:14:00.863850 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:00.874274 ," HCI Command: Vendor (0x3f|0x0157) plen 16 
"
2017-01-03 17:14:00.878982 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:00.890893 ," HCI Command: Vendor (0x3f|0x0157) plen 7 
"
2017-01-03 17:14:00.893698 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:00.896427 ," HCI Command: Vendor (0x3f|0x0157) plen 16 
"
2017-01-03 17:14:00.899637 ," HCI Event: Command Complete (0x0e) plen 7     Vendor (0x3f|0x0157) ncmd 1 
"
2017-01-03 17:14:00.904772 ," HCI Command: LE Set Scan Parameters (0x08|0x000b) plen 7     type 0x01 (active)     interval 11.250ms window 11.250ms     own address: 0x01 (Random) policy: All 
